City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,poshekhonye,58.4993,39.1353,6.52,44,87,5.88,RU,1681387003
122,treinta y tres,-33.2333,-54.3833,13.65,78,78,3.05,UY,1681387003
123,dhidhdhoo,6.8833,73.1,29.05,70,12,2.53,MV,1681387004
124,along,28.1667,94.7667,24.78,59,17,0.57,IN,1681387004
125,abilene,32.4487,-99.7331,14.12,68,0,8.75,US,1681386917
126,touros,-5.1989,-35.4608,28.18,76,99,6.43,BR,1681387004
127,padang,-0.9492,100.3543,29.03,86,94,0.82,ID,1681387004
128,port-gentil,-0.7193,8.7815,30.98,70,40,2.57,GA,1681387004
129,kerema,-7.9631,145.7785,25.96,83,100,1.69,PG,1681387004
130,anchorage,61.2181,-149.9003,2.03,74,75,4.63,US,1681386791
131,diffa,13.3154,12.6113,35.36,9,72,7.25,NE,1681387005
132,aripuana,-9.1667,-60.6333,24.3,94,97,0.58,BR,1681387005
133,conceicao do coite,-11.5639,-39.2828,26.62,52,100,2.35,BR,1681387005
134,lasa,46.6166,10.7002,4.49,90,100,3.48,IT,1681387006
135,lethem,3.3803,-59.7968,27.61,61,100,5.15,GY,1681387006
136,los llanos de aridane,28.6585,-17.9182,19.86,64,75,6.69,ES,1681387006
137,coka,45.9425,20.1433,18.04,44,76,5.09,RS,1681387006
138,riverton,40.5219,-111.9391,8.96,76,40,5.81,US,1681387007
139,kyaukse,21.6,96.1333,37.0,44,20,1.54,MM,1681387007
140,shaowu,27.3409,117.4831,19.66,98,66,0.83,CN,1681387007
141,nerchinskiy zavod,51.3088,119.61,-1.42,72,9,2.72,RU,1681387007
142,san rafael,-34.6177,-68.3301,11.02,56,86,3.5,AR,1681386717
143,leningradskiy,69.3833,178.4167,-25.95,99,74,2.36,RU,1681387007
144,derzhavinsk,51.1,66.3167,17.83,31,100,3.04,KZ,1681387008
145,laizhou,37.1717,119.9214,15.84,55,100,4.25,CN,1681387008
146,grindavik,63.8424,-22.4338,5.26,75,40,3.09,IS,1681387008
147,sechura,-5.5569,-80.8222,26.29,74,100,1.49,PE,1681387008
148,san jose,37.3394,-121.895,8.26,80,0,4.92,US,1681386930
149,zhanakorgan,43.9098,67.2495,29.63,17,76,6.53,KZ,1681387008
150,westport,41.1415,-73.3579,21.82,54,0,1.34,US,1681387009
151,norman wells,65.282,-126.8329,-12.98,78,75,3.6,CA,1681387009
152,lagoa,39.05,-27.9833,15.83,84,78,5.08,PT,1681387009
153,provideniya,64.3833,-173.3,-20.95,97,37,2.93,RU,1681387009
154,bambous virieux,-20.3428,57.7575,29.56,79,40,1.03,MU,1681387009
155,half moon bay,37.4636,-122.4286,9.99,79,0,5.14,US,1681387009
156,buraydah,26.326,43.975,21.25,15,35,1.29,SA,1681387010
157,honningsvag,70.9821,25.9704,2.86,65,14,12.35,NO,1681387010
158,kieta,-6.2167,155.6333,25.89,84,100,0.61,PG,1681387010
159,qujing,25.4833,103.7833,21.91,16,0,5.34,CN,1681387010
160,port said,31.2565,32.2841,19.99,68,40,4.12,EG,1681387010
161,dubbo,-32.25,148.6167,15.07,77,61,2.57,AU,1681387010
162,tuktoyaktuk,69.4541,-133.0374,-27.65,100,93,2.76,CA,1681387010
163,lavrentiya,65.5833,-171.0,-22.45,91,11,3.32,RU,1681387011
164,torbay,47.6666,-52.7314,1.43,96,100,6.17,CA,1681387011
165,belmonte,-15.8631,-38.8828,26.12,81,48,0.97,BR,1681387011
166,nouakchott,18.0858,-15.9785,30.96,56,75,0.76,MR,1681387011
167,klaksvik,62.2266,-6.589,8.51,86,50,7.26,FO,1681387011
168,agaro,7.85,36.65,27.72,38,99,1.74,ET,1681387011
169,vanimo,-2.6741,141.3028,25.88,86,30,2.34,PG,1681387012
170,mitsamiouli,-11.3847,43.2844,28.06,72,47,1.63,KM,1681387012
171,severo-kurilsk,50.6789,156.125,1.29,99,100,8.8,RU,1681387012
172,ahipara,-35.1667,173.1667,16.68,95,86,2.9,NZ,1681387012
173,montbrison,45.6667,4.0833,12.19,44,49,4.61,FR,1681387012
174,necochea,-38.5473,-58.7368,12.14,63,87,6.33,AR,1681387013
175,oistins,13.0667,-59.5333,26.05,73,40,7.2,BB,1681387013
176,rio gallegos,-51.6226,-69.2181,-4.97,100,0,1.03,AR,1681387013
177,lorengau,-2.0226,147.2712,27.77,81,88,4.55,PG,1681387013
178,dashitou,43.3067,128.5114,6.89,32,98,2.41,CN,1681387013
179,mahebourg,-20.4081,57.7,29.58,79,40,1.03,MU,1681387014
180,igrim,63.1906,64.4162,-8.25,61,74,3.54,RU,1681387014
181,coahuayana,18.7333,-103.6833,20.08,59,60,1.18,MX,1681387014
182,luanda,-8.8368,13.2343,29.0,70,40,3.6,AO,1681386995
183,akyab,20.15,92.9,28.9,74,1,5.38,MM,1681387014
184,kantang,7.4054,99.5156,32.05,66,20,3.09,TH,1681387014
185,bethel,41.3712,-73.414,21.12,50,0,1.79,US,1681387015
186,nicoya,10.1483,-85.452,23.93,79,26,1.06,CR,1681387015
187,aasiaat,68.7098,-52.8699,-7.21,98,99,2.33,GL,1681387015
188,ostrovnoy,68.0531,39.5131,-6.29,82,27,4.69,RU,1681387015
189,palu,-0.8917,119.8707,25.67,95,77,0.53,ID,1681387015
190,olafsvik,64.8945,-23.7142,3.0,72,36,2.19,IS,1681387015
191,georgetown,5.4112,100.3354,30.97,79,20,3.6,MY,1681386822
192,harper,4.375,-7.7169,29.45,73,35,2.47,LR,1681387016
193,miandrivazo,-19.5167,45.4667,31.11,51,99,1.75,MG,1681387016
194,xai-xai,-25.0519,33.6442,29.08,51,2,4.51,MZ,1681387016
195,banda aceh,5.5577,95.3222,27.81,75,55,2.74,ID,1681387016
196,mount isa,-20.7333,139.5,24.87,44,96,2.06,AU,1681387016
197,victoria,22.2855,114.1577,25.21,80,53,4.92,HK,1681386834
198,sandwick,60.0,-1.25,7.9,76,40,4.63,GB,1681387017
199,karratha,-20.7377,116.8463,30.61,60,100,2.59,AU,1681387017
200,jishou,28.3167,109.7167,23.09,86,44,0.51,CN,1681387017
201,palmas,-10.2128,-48.3603,25.93,89,20,1.54,BR,1681387018
202,kuusamo,65.9667,29.1833,-2.98,59,0,5.14,FI,1681386483
203,esil,51.9556,66.4042,17.03,37,88,3.85,KZ,1681387018
204,natal,-5.795,-35.2094,27.36,83,75,4.12,BR,1681386542
205,san-pedro,4.7485,-6.6363,29.88,72,27,4.49,CI,1681386845
206,lubango,-14.9172,13.4925,23.29,54,94,2.96,AO,1681386925
207,taoudenni,22.6783,-3.9836,34.85,6,56,3.28,ML,1681387019
208,fortuna,40.5982,-124.1573,2.77,90,40,1.74,US,1681387019
209,riviere-au-renard,48.9957,-64.3971,4.16,88,10,5.26,CA,1681387019
210,san patricio,28.017,-97.5169,19.91,89,0,1.7,US,1681387019
211,mlimba,-8.8,35.8167,27.83,78,74,1.71,TZ,1681387019
212,sioux lookout,50.1001,-91.917,2.04,80,75,2.57,CA,1681387019
213,fukue,32.6881,128.8419,16.05,67,74,2.71,JP,1681387019
214,vostok,46.4856,135.8833,-1.4,84,100,1.86,RU,1681387020
215,nyagan,62.1406,65.3936,-10.68,82,98,4.49,RU,1681387020
216,lata,40.1629,-8.3327,15.04,62,100,2.13,PT,1681387020
217,raudeberg,61.9875,5.1352,11.37,61,100,4.33,NO,1681387020
218,longyearbyen,78.2186,15.6401,0.91,75,75,2.57,SJ,1681387020
219,mar del plata,-38.0023,-57.5575,12.83,89,40,2.06,AR,1681387021
220,te anau,-45.4167,167.7167,9.03,97,36,0.94,NZ,1681387021
221,flinders,-34.5833,150.8552,17.88,91,94,2.24,AU,1681387021
222,sangar,63.9242,127.4739,-2.66,98,100,1.87,RU,1681387021
223,saurimo,-9.6608,20.3916,27.81,54,38,1.92,AO,1681387021
